,Unit Type,IMEI,Company,Phone Number,Last Event Date
119,Queclink GL 300W,868574042021100,AGROMILENIO SAS,9101142641,10/2/2024 3:12:34 PM
380,Queclink GL 300W,862369031495449,ASOCIACION DE GESTORES AMBIENTALES,9101162420,7/31/2024 10:50:53 AM
381,Queclink GL 300W,862369031491182,ASOCIACION DE GESTORES AMBIENTALES,9101311277,8/5/2024 5:45:36 AM
382,Queclink GL 300W,862369031506369,ASOCIACION DE GESTORES AMBIENTALES,9101290040,9/17/2024 12:36:11 PM
383,Queclink GL 300W,862369031520253,ASOCIACION DE GESTORES AMBIENTALES,9101377021,10/2/2024 6:18:18 AM
384,Queclink GL 300W,862369031519974,ASOCIACION DE GESTORES AMBIENTALES,9101327132,10/2/2024 4:35:44 PM
385,Queclink GL 300W,862369031518869,ASOCIACION DE GESTORES AMBIENTALES,9101321692,9/24/2024 11:58:22 AM
386,Queclink GL 300W,862369031505106,ASOCIACION DE GESTORES AMBIENTALES,9101346380,9/26/2024 2:22:56 PM
387,Queclink GL 300W,862369031530039,ASOCIACION DE GESTORES AMBIENTALES,9101160760,9/18/2024 8:02:01 AM
388,Queclink GL 300W,862369031511039,ASOCIACION DE GESTORES AMBIENTALES,9101373527,9/28/2024 10:54:11 AM
389,Queclink GL 300W,862369031505072,ASOCIACION DE GESTORES AMBIENTALES,9101067209,10/2/2024 8:48:55 AM
390,Queclink GL 300W,862369031522093,ASOCIACION DE GESTORES AMBIENTALES,9101263872,10/1/2024 11:58:13 PM
391,Queclink GL 300W,862369031502459,ASOCIACION DE GESTORES AMBIENTALES,9101266399,10/1/2024 11:14:17 AM
392,Queclink GL 300W,862369031519818,ASOCIACION DE GESTORES AMBIENTALES,9101275376,9/25/2024 6:53:19 AM
393,Queclink GL 300W,862369031513357,ASOCIACION DE GESTORES AMBIENTALES,9101334521,9/27/2024 10:24:17 PM
394,Queclink GL 300W,862369031518182,ASOCIACION DE GESTORES AMBIENTALES,9101433518,9/20/2024 5:10:49 PM
395,Queclink GL 300W,862369031518232,ASOCIACION DE GESTORES AMBIENTALES,9101272616,9/24/2024 7:56:48 PM
396,Queclink GL 300W,862369031519859,ASOCIACION DE GESTORES AMBIENTALES,9101373617,9/13/2024 10:50:08 AM
397,Queclink GL 300W,862369031513464,ASOCIACION DE GESTORES AMBIENTALES,9101373224,9/28/2024 2:44:53 PM
398,Queclink GL 300W,862369031515089,ASOCIACION DE GESTORES AMBIENTALES,9101328746,9/26/2024 2:56:57 PM
399,Queclink GL 300W,862369031514694,ASOCIACION DE GESTORES AMBIENTALES,9101067623,10/1/2024 11:32:18 PM
407,Queclink GL 300W,862369031494673,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101332591,7/19/2024 8:58:49 AM
408,Queclink GL 300W,862369031500677,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101065163,8/9/2024 4:41:31 AM
409,Queclink GL 300W,862369031496975,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101156859,7/30/2024 7:13:01 AM
410,Queclink GL 300W,862369031479625,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101053406,9/18/2024 3:22:02 AM
411,Queclink GL 300W,862369031485853,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101352282,8/28/2024 3:38:41 PM
412,Queclink GL 300W,862369031479609,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101371685,8/15/2024 11:52:16 AM
413,Queclink GL 300W,862369031478486,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101331165,7/23/2024 6:22:45 PM
414,Queclink GL 300W,862369031483395,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101194848,7/12/2024 11:55:44 AM
415,Queclink GL 300W,862369031485044,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101153679,7/19/2024 2:31:42 PM
416,Queclink GL 300W,862369031488527,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,13M5,8/20/2024 9:30:21 AM
417,Queclink GL 300W,862369031490457,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101057446,10/1/2024 7:38:35 PM
418,Queclink GL 300W,862369031493386,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101297804,8/8/2024 5:41:48 PM
419,Queclink GL 300W,862369031478437,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101333100,9/22/2024 2:36:14 AM
420,Queclink GL 300W,862369031473669,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101339112,9/27/2024 10:10:44 AM
421,Queclink GL 300W,862369031474170,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101373178,8/6/2024 4:50:54 PM
422,Queclink GL 300W,862369031476050,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101344129,9/18/2024 7:27:28 AM
423,Queclink GL 300W,862369031477165,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101063498,9/14/2024 12:20:15 PM
424,Queclink GL 300W,862369031477207,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101264847,7/23/2024 9:21:57 AM
425,Queclink GL 300W,862369031480235,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101343943,10/2/2024 4:29:45 PM
426,Queclink GL 300W,862369031480268,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101055703,10/2/2024 3:01:48 PM
427,Queclink GL 300W,862369031481530,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101298969,9/6/2024 2:39:49 PM
428,Queclink GL 300W,862369031486646,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101342020,10/1/2024 6:45:31 AM
429,Queclink GL 300W,862369031486901,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101342226,8/26/2024 9:24:10 PM
430,Queclink GL 300W,862369031487925,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101342882,8/9/2024 2:10:44 PM
431,Queclink GL 300W,862369031488246,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101072572,9/19/2024 9:14:09 PM
432,Queclink GL 300W,862369031488717,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101152787,9/2/2024 9:19:37 PM
433,Queclink GL 300W,862369031495407,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101062653,9/6/2024 8:53:41 AM
434,Queclink GL 300W,862369031496496,ASOCIACION DE RECICLADORES PORVENIR ASOPORVENIR,9101195504,8/21/2024 12:25:50 PM
